2.790  0.0269349 -1.1744393 0.4866146
2.800  0.0338318 -1.1788185 0.4872846
2.810  0.0407654 -1.1831458 0.4879616
2.820  0.0477353 -1.1874208 0.4886455
2.830  0.0547407 -1.1916428 0.4893364
2.840  0.0617812 -1.1958113 0.4900343
2.850  0.0688561 -1.1999257 0.4907392
2.860  0.0759647 -1.2039854 0.4914510
2.870  0.0831065 -1.2079899 0.4921698
2.880  0.0902809 -1.2119387 0.4928955
2.890  0.0974872 -1.2158311 0.4936281
2.900  0.1047248 -1.2196668 0.4943677
2.910  0.1119930 -1.2234450 0.4951141
2.920  0.1192912 -1.2271653 0.4958675
2.930  0.1266187 -1.2308272 0.4966278
2.940  0.1339749 -1.2344302 0.4973949
2.950  0.1413592 -1.2379736 0.4981690
2.960  0.1487708 -1.2414571 0.4989498
2.970  0.1562091 -1.2448800 0.4997375
2.980  0.1636734 -1.2482420 0.5005321
2.990  0.1711631 -1.2515424 0.5013335
3.000  0.1786774 -1.2547808 0.5021416
3.010  0.1862156 -1.2579568 0.5029565
3.020  0.1937772 -1.2610697 0.5037782
3.030  0.2013612 -1.2641192 0.5046067
3.040  0.2089672 -1.2671047 0.5054419
3.050  0.2165943 -1.2700258 0.5062838
3.060  0.2242418 -1.2728821 0.5071323
3.070  0.2319090 -1.2756730 0.5079876
3.080  0.2395952 -1.2783981 0.5088495
3.090  0.2472997 -1.2810570 0.5097180
3.100  0.2550218 -1.2836492 0.5105931
3.110  0.2627606 -1.2861742 0.5114748
3.120  0.2705155 -1.2886318 0.5123630
3.130  0.2782857 -1.2910213 0.5132577
3.140  0.2860705 -1.2933424 0.5141590
3.150  0.2938692 -1.2955948 0.5150667
3.160  0.3016808 -1.2977779 0.5159809
3.170  0.3095048 -1.2998913 0.5169015
3.180  0.3173404 -1.3019348 0.5178284
3.190  0.3251867 -1.3039078 0.5187618
3.200  0.3330431 -1.3058100 0.5197014
3.210  0.3409086 -1.3076410 0.5206473
3.220  0.3487827 -1.3094005 0.5215994
3.230  0.3566644 -1.3110881 0.5225578
3.240  0.3645530 -1.3127034 0.5235224
3.250  0.3724477 -1.3142460 0.5244930
3.260  0.3803478 -1.3157157 0.5254698
3.270  0.3882524 -1.3171121 0.5264527
3.280  0.3961607 -1.3184348 0.5274415
3.290  0.4040720 -1.3196835 0.5284364
3.300  0.4119854 -1.3208579 0.5294371
3.310  0.4199001 -1.3219577 0.5304438
3.320  0.4278154 -1.3229826 0.5314563
3.330  0.4357304 -1.3239322 0.5324746
3.340  0.4436443 -1.3248064 0.5334986
3.350  0.4515563 -1.3256047 0.5345283
3.360  0.4594656 -1.3263270 0.5355637
3.370  0.4673713 -1.3269729 0.5366047
3.380  0.4752726 -1.3275422 0.5376512
3.390  0.4831688 -1.3280346 0.5387032
3.400  0.4910590 -1.3284499 0.5397606
3.410  0.4989423 -1.3287878 0.5408234
3.420  0.5068180 -1.3290481 0.5418915
3.430  0.5146852 -1.3292306 0.5429649
3.440  0.5225430 -1.3293350 0.5440434
3.450  0.5303907 -1.3293611 0.5451271
3.460  0.5382274 -1.3293088 0.5462158
3.470  0.5460523 -1.3291778 0.5473096
3.480  0.5538645 -1.3289680 0.5484082
3.490  0.5616632 -1.3286791 0.5495118
3.500  0.5694476 -1.3283109 0.5506201
3.510  0.5772168 -1.3278634 0.5517331
3.520  0.5849699 -1.3273363 0.5528508
3.530  0.5927062 -1.3267296 0.5539731
3.540  0.6004248 -1.3260429 0.5550998
3.550  0.6081248 -1.3252763 0.5562310
3.560  0.6158054 -1.3244296 0.5573665
3.570  0.6234658 -1.3235026 0.5585062
3.580  0.6311050 -1.3224953 0.5596501
3.590  0.6387224 -1.3214076 0.5607981
3.600  0.6463169 -1.3202393 0.5619501
3.610  0.6538879 -1.3189903 0.5631060
3.620  0.6614344 -1.3176606 0.5642658
3.630  0.6689555 -1.3162502 0.5654292
3.640  0.6764505 -1.3147589 0.5665964
3.650  0.6839185 -1.3131866 0.5677670
3.660  0.6913586 -1.3115334 0.5689411
3.670  0.6987700 -1.3097992 0.5701185
3.680  0.7061519 -1.3079840 0.5712992
3.690  0.7135035 -1.3060878 0.5724830
3.700  0.7208237 -1.3041104 0.5736699
3.710  0.7281120 -1.3020520 0.5748597
3.720  0.7353673 -1.2999125 0.5760523
3.730  0.7425889 -1.2976920 0.5772477
3.740  0.7497759 -1.2953904 0.5784456
3.750  0.7569275 -1.2930078 0.5796461
3.760  0.7640429 -1.2905442 0.5808489
3.770  0.7711212 -1.2879997 0.5820540
3.780  0.7781615 -1.2853742 0.5832612
3.790  0.7851631 -1.2826680 0.5844705
3.800  0.7921252 -1.2798810 0.5856816
3.810  0.7990468 -1.2770134 0.5868946
3.820  0.8059273 -1.2740652 0.5881092
3.830  0.8127657 -1.2710364 0.5893253
3.840  0.8195612 -1.2679273 0.5905428
3.850  0.8263131 -1.2647380 0.5917615
3.860  0.8330205 -1.2614684 0.5929814
3.870  0.8396826 -1.2581189 0.5942023
3.880  0.8462986 -1.2546895 0.5954240
3.890  0.8528676 -1.2511803 0.5966464
3.900  0.8593890 -1.2475916 0.5978694
3.910  0.8658618 -1.2439234 0.5990929
3.920  0.8722853 -1.2401760 0.6003166
3.930  0.8786587 -1.2363496 0.6015405
3.940  0.8849812 -1.2324442 0.6027643
3.950  0.8912521 -1.2284603 0.6039880
3.960  0.8974704 -1.2243978 0.6052113
3.970  0.9036355 -1.2202571 0.6064342
3.980  0.9097466 -1.2160384 0.6076564
3.990  0.9158029 -1.2117419 0.6088779
4.000  0.9218036 -1.2073679 0.6100984
4.010  0.9277481 -1.2029166 0.6113178
4.020  0.9336354 -1.1983883 0.6125359
4.030  0.9394649 -1.1937832 0.6137526
4.040  0.9452357 -1.1891016 0.6149676
4.050  0.9509473 -1.1843438 0.6161809
4.060  0.9565987 -1.1795101 0.6173922
4.070  0.9621894 -1.1746008 0.6186014
4.080  0.9677185 -1.1696162 0.6198083
4.090  0.9731853 -1.1645567 0.6210127
4.100  0.9785891 -1.1594225 0.6222144
4.110  0.9839292 -1.1542140 0.6234133
4.120  0.9892049 -1.1489316 0.6246092
4.130  0.9944155 -1.1435755 0.6258018
4.140  0.9995602 -1.1381463 0.6269911
4.150  1.0046383 -1.1326441 0.6281768
4.160  1.0096493 -1.1270695 0.6293587
4.170  1.0145923 -1.1214227 0.6305367
4.180  1.0194668 -1.1157043 0.6317105
4.190  1.0242720 -1.1099145 0.6328799
4.200  1.0290072 -1.1040539 0.6340448
4.210  1.0336719 -1.0981228 0.6352050
4.220  1.0382654 -1.0921217 0.6363602
4.230  1.0427869 -1.0860509 0.6375103
4.240  1.0472360 -1.0799110 0.6386551
4.250  1.0516119 -1.0737025 0.6397943
4.260  1.0559139 -1.0674256 0.6409278
4.270  1.0601416 -1.0610810 0.6420553
4.280  1.0642942 -1.0546692 0.6431767
4.290  1.0683713 -1.0481905 0.6442917
4.300  1.0723720 -1.0416455 0.6454001
4.310  1.0762960 -1.0350347 0.6465018
4.320  1.0801425 -1.0283586 0.6475965
4.330  1.0839110 -1.0216178 0.6486839
4.340  1.0876010 -1.0148127 0.6497640
4.350  1.0912118 -1.0079438 0.6508364
4.360  1.0947429 -1.0010118 0.6519010
4.370  1.0981938 -0.9940172 0.6529575
4.380  1.1015640 -0.9869605 0.6540058
4.390  1.1048528 -0.9798423 0.6550456
4.400  1.1080597 -0.9726632 0.6560767
4.410  1.1111843 -0.9654237 0.6570988
4.420  1.1142260 -0.9581245 0.6581118
4.430  1.1171844 -0.9507661 0.6591155
4.440  1.1200589 -0.9433491 0.6601096
4.450  1.1228490 -0.9358742 0.6610939
4.460  1.1255543 -0.9283419 0.6620682
4.470  1.1281743 -0.9207529 0.6630322
4.480  1.1307086 -0.9131078 0.6639859
4.490  1.1331566 -0.9054073 0.6649288
4.500  1.1355180 -0.8976519 0.6658609
4.510  1.1377923 -0.8898424 0.6667818
4.520  1.1399791 -0.8819795 0.6676914
4.530  1.1420779 -0.8740636 0.6685895
4.540  1.1440884 -0.8660957 0.6694758
4.550  1.1460102 -0.8580762 0.6703501
4.560  1.1478428 -0.8500060 0.6712123
4.570  1.1495860 -0.8418856 0.6720620
4.580  1.1512392 -0.8337159 0.6728991
4.590  1.1528022 -0.8254975 0.6737234
4.600  1.1542746 -0.8172311 0.6745346
4.610  1.1556560 -0.8089174 0.6753325
4.620  1.1569461 -0.8005572 0.6761169
4.630  1.1581447 -0.7921511 0.6768877
4.640  1.1592513 -0.7837000 0.6776445
4.650  1.1602657 -0.7752046 0.6783873
4.660  1.1611876 -0.7666656 0.6791157
4.670  1.1620166 -0.7580838 0.6798296
4.680  1.1627525 -0.7494599 0.6805287
4.690  1.1633951 -0.7407947 0.6812129
4.700  1.1639441 -0.7320890 0.6818820
4.710  1.1643992 -0.7233435 0.6825357
4.720  1.1647602 -0.7145591 0.6831740
4.730  1.1650268 -0.7057364 0.6837964
4.740  1.1651989 -0.6968764 0.6844030
4.750  1.1652762 -0.6879799 0.6849935
4.760  1.1652586 -0.6790475 0.6855676
4.770  1.1651458 -0.6700802 0.6861253
4.780  1.1649376 -0.6610787 0.6866662
4.790  1.1646340 -0.6520439 0.6871904
4.800  1.1642346 -0.6429766 0.6876974
4.810  1.1637395 -0.6338776 0.6881873
4.820  1.1631484 -0.6247477 0.6886598
4.830  1.1624612 -0.6155879 0.6891148
4.840  1.1616778 -0.6063989 0.6895520
4.850  1.1607981 -0.5971815 0.6899713
4.860  1.1598220 -0.5879368 0.6903726
4.870  1.1587494 -0.5786654 0.6907556
4.880  1.1575802 -0.5693682 0.6911203
4.890  1.1563143 -0.5600462 0.6914665
4.900  1.1549517 -0.5507002 0.6917940
4.910  1.1534924 -0.5413311 0.6921027
4.920  1.1519363 -0.5319396 0.6923924
4.930  1.1502833 -0.5225269 0.6926631
4.940  1.1485336 -0.5130936 0.6929145
4.950  1.1466869 -0.5036407 0.6931466
4.960  1.1447434 -0.4941691 0.6933592
4.970  1.1427031 -0.4846797 0.6935522
4.980  1.1405660 -0.4751734 0.6937255
4.990  1.1383321 -0.4656511 0.6938789
5.000  1.1360015 -0.4561137 0.6940124
5.010  1.1335741 -0.4465620 0.6941259
5.020  1.1310502 -0.4369971 0.6942192
5.030  1.1284297 -0.4274198 0.6942922
5.040  1.1257128 -0.4178311 0.6943450
5.050  1.1228995 -0.4082318 0.6943773
5.060  1.1199899 -0.3986229 0.6943891
5.070  1.1169842 -0.3890054 0.6943803
5.080  1.1138825 -0.3793800 0.6943509
5.090  1.1106848 -0.3697479 0.6943007
5.100  1.1073915 -0.3601098 0.6942298
5.110  1.1040025 -0.3504668 0.6941380
5.120  1.1005181 -0.3408198 0.6940253
5.130  1.0969384 -0.3311697 0.6938917
5.140  1.0932637 -0.3215175 0.6937371
5.150  1.0894941 -0.3118640 0.6935615
5.160  1.0856298 -0.3022104 0.6933648
5.170  1.0816711 -0.2925574 0.6931470
5.180  1.0776181 -0.2829060 0.6929082
5.190  1.0734711 -0.2732572 0.6926482
5.200  1.0692304 -0.2636120 0.6923671
5.210  1.0648961 -0.2539713 0.6920648
5.220  1.0604686 -0.2443360 0.6917414
5.230  1.0559481 -0.2347072 0.6913969
5.240  1.0513349 -0.2250857 0.6910313
5.250  1.0466293 -0.2154725 0.6906445
5.260  1.0418316 -0.2058686 0.6902367
5.270  1.0369420 -0.1962749 0.6898078
5.280  1.0319610 -0.1866924 0.6893579
5.290  1.0268888 -0.1771220 0.6888870
5.300  1.0217258 -0.1675648 0.6883951
5.310  1.0164723 -0.1580217 0.6878824
5.320  1.0111287 -0.1484935 0.6873488
5.330  1.0056954 -0.1389814 0.6867945
5.340  1.0001726 -0.1294862 0.6862194
